word,emotion,accuracy
Natal,trust,0
Feriado de natal,trust,0
Noite de Natal,trust,0
espirito natalino,trust,0
Natal,trust,0
época de Natal,trust,0
cromático,trust,0
cromatografia,trust,0
cromossoma,trust,0
crônica,trust,0
cronógrafo,trust,0
cronológico,trust,0
mandril,trust,0
pedaço,trust,0
Chunky,trust,0
cemitério,trust,0
batedor,trust,0
Chute,trust,0
molho picante,trust,0
tchau,trust,0
cidra,trust,0
charuto,trust,0
cigarro,trust,0
Cincha,trust,0
cinza,trust,0
cinema,trust,0
Cinematográfico,trust,0
cinematografia,trust,0
canela,trust,0
cifra,trust,0
circulando,trust,0
o circuito,trust,0
circular,trust,0
circular,trust,0
circulação,trust,0
circuncisão,trust,0
circunferência,trust,0
circunferencial,trust,0
circunscrito,trust,0
circunstância,trust,0
circunstancial,trust,0
contornar,trust,0
circo,trust,0
Cirrus,trust,0
cisterna,trust,0
Cidadela,trust,0
citação,trust,0
cidadão,trust,0
citrina,trust,0
cidade,trust,0
Civic,trust,0
Civil,trust,0
civil,trust,0
civis,trust,0
civilidade,trust,0
vestido,trust,0
alegar,trust,0
requerente,trust,0
clarividente,trust,0
molusco,trust,0
clamor,trust,0
grampo,trust,0
clandestino,trust,0
esclarecer,trust,0
clarinete,trust,0
Clarion,trust,0
clareza,trust,0
choque,trust,0
conflitando,trust,0
fecho,trust,0
aula,trust,0
clássico,trust,0
clássico,trust,0
clássicos,trust,0
classificação,trust,0
classificar,trust,0
colega de classe,trust,0
barulho,trust,0
cláusula,trust,0
cláusulas,trust,0
claustrofobia,trust,0
Claustrofóbico,trust,0
garra,trust,0
Garras,trust,0
argila,trust,0
limpeza,trust,0
limpeza,trust,0
limpo,trust,0
limpar,trust,0
limpeza,trust,0
limpeza,trust,0
clareza,trust,0
decote,trust,0
Cleagem,trust,0
clave,trust,0
fenda,trust,0
clemência,trust,0
clero,trust,0
clérigo,trust,0
atendente,trust,0
estágio,trust,0
esperto,trust,0
inteligência,trust,0
clique,trust,0
cliente,trust,0
clientela,trust,0
penhasco,trust,0
clima,trust,0
climatologia,trust,0
escala,trust,0
agarrar -se,trust,0
clínico,trust,0
grampo,trust,0
Clipper,trust,0
recorte,trust,0
Clique,trust,0
capa,trust,0
relógio,trust,0
relógio,trust,0
entupir,trust,0
claustro,trust,0
fechar,trust,0
fechado,trust,0
armário,trust,0
fecho,trust,0
coágulo,trust,0
pano,trust,0
vestir,trust,0
roupas,trust,0
varal de roupas,trust,0
roupas,trust,0
nuvem,trust,0
nublado,trust,0
nebulosidade,trust,0
nuvens,trust,0
nublado,trust,0
trevo,trust,0
cravo,trust,0
palhaço,trust,0
palhaços,trust,0
clube,trust,0
Clubhouse,trust,0
clubes,trust,0
dica,trust,0
Brump,trust,0
desajeitado,trust,0
conjunto,trust,0
embreagem,trust,0
garras,trust,0
desordem,trust,0
coagulação,trust,0
carvão,trust,0
aliança,trust,0
costa,trust,0
costeiro,trust,0
montanha -russa,trust,0
casaco,trust,0
Revestimento,trust,0
cobalto,trust,0
godo,trust,0
sapateiro,trust,0
COBRA,trust,0
cocaína,trust,0
galo,trust,0
Cockpit,trust,0
coquetel,trust,0
cacau,trust,0
casulo,trust,0
bacalhau,trust,0
código,trust,0
códice,trust,0
codificação,trust,0
codificar,trust,0
coeficiente,trust,0
coagir,trust,0
coerção,trust,0
coercitivo,trust,0
coexistência,trust,0
café,trust,0
caixão,trust,0
cog,trust,0
cognato,trust,0
conhecimento,trust,0
cognitivo,trust,0
coabitação,trust,0
coerência,trust,0
coerente,trust,0
coorte,trust,0
bobina,trust,0
enrolado,trust,0
moeda,trust,0
cunhagem,trust,0
coincidir,trust,0
coincidência,trust,0
coincidente,trust,0
coincidindo,trust,0
Coca,trust,0
frio,trust,0
friamente,trust,0
frieza,trust,0
suor frio,trust,0
cólica,trust,0
colapso,trust,0
colarinho,trust,0
agarrar,trust,0
agrupamento,trust,0
colega,trust,0
coletar,trust,0
coletado,trust,0
coleção,trust,0
coletivo,trust,0
colecionador,trust,0
faculdade,trust,0
colegial,trust,0
colida,trust,0
Collie,trust,0
colisão,trust,0
Colocação,trust,0
coloquial,trust,0
conluio,trust,0
cólon,trust,0
colonial,trust,0
colônia,trust,0
Colofão,trust,0
cor,trust,0
coloração,trust,0
colori,trust,0
coloração,trust,0
incolor,trust,0
cores,trust,0
colossal,trust,0
potro,trust,0
coluna,trust,0
colunar,trust,0
coma,trust,0
em coma,trust,0
pentear,trust,0
combate,trust,0
combatente,trust,0
combativo,trust,0
combinação,trust,0
Combinatório,trust,0
combinar,trust,0
combinado,trust,0
combustível,trust,0
combustão,trust,0
comédia,trust,0
cometa,trust,0
Consolador,trust,0
reconfortante,trust,0
confortável,trust,0
quadrinho,trust,0
cômico,trust,0
chegando,trust,0
vírgula,trust,0
comando,trust,0
comandante,trust,0
comemorar,trust,0
comemoração,trust,0
comemorativo,trust,0
começar,trust,0
proporcional,trust,0
Comente,trust,0
comentário,trust,0
comentarista,trust,0
comercial,trust,0
comissário,trust,0
comissário,trust,0
comprometer-se,trust,0
compromisso,trust,0
mercadoria,trust,0
comum,trust,0
comumente,trust,0
Comuns,trust,0
comoção,trust,0
comuna,trust,0
comunicável,trust,0
comunicativo,trust,0
O comunismo,trust,0
comunista,trust,0
comunidade,trust,0
comutação,trust,0
comutativo,trust,0
trajeto,trust,0
Companheiro,trust,0
compactação,trust,0
compactação,trust,0
companhia,trust,0
empresa,trust,0
comparável,trust,0
comparativo,trust,0
comparativamente,trust,0
comparação,trust,0
compartimento,trust,0
compatibilidade,trust,0
compatível,trust,0
obrigar,trust,0
compelido,trust,0
atraente,trust,0
compêndio,trust,0
compensação,trust,0
compensatório,trust,0
concorrência,trust,0
competitivo,trust,0
concorrente,trust,0
compilação,trust,0
compilar,trust,0
Complacência,trust,0
complacente,trust,0
reclamar,trust,0
reclamação,trust,0
complementar,trust,0
completo,trust,0
concluído,trust,0
completamente,trust,0
integridade,trust,0
completando,trust,0
conclusão,trust,0
complexo,trust,0
complexo,trust,0
tez,trust,0
complexidade,trust,0
compatível,trust,0
complicar,trust,0
complicado,trust,0
complicação,trust,0
cumplicidade,trust,0
cumprir,trust,0
cumprindo,trust,0
Compo,trust,0
componente,trust,0
compor,trust,0
composto,trust,0
compositor,trust,0
composto,trust,0
composição,trust,0
composto,trust,0
compostura,trust,0
composto,trust,0
compreender,trust,0
compreensão,trust,0
compreensivo,trust,0
comprimir,trust,0
comprimido,trust,0
compressível,trust,0
compressão,trust,0
compreende,trust,0
compromisso,trust,0
compulsão,trust,0
obrigatório,trust,0
computável,trust,0
computação,trust,0
calcular,trust,0
computador,trust,0
vigarista,trust,0
concatenação,trust,0
côncavo,trust,0
esconder,trust,0
escondido,trust,0
ocultação,trust,0
presunção,trust,0
pretensioso,trust,0
concebível,trust,0
concentrado,trust,0
concentração,trust,0
concêntrico,trust,0
concepção,trust,0
preocupação,trust,0
preocupado,trust,0
show,trust,0
concessão,trust,0
concessional,trust,0
porteiro,trust,0
conciso,trust,0
conclave,trust,0
concluir,trust,0
final,trust,0
conclusão,trust,0
mistura,trust,0
concomitante,trust,0
Concours,trust,0
Concurso,trust,0
concreto,trust,0
concordância,trust,0
simultâneo,trust,0
concordando,trust,0
concussão,trust,0
condenar,trust,0
condenação,trust,0
condensação,trust,0
condensado,trust,0
condescendente,trust,0
condescendência,trust,0
condimento,trust,0
doença,trust,0
condicional,trust,0
condicionalmente,trust,0
condicionado,trust,0
condições,trust,0
pêsames,trust,0
Condolências,trust,0
perdoar,trust,0
propício,trust,0
conduta,trust,0
condução,trust,0
condutividade,trust,0
condutor,trust,0
conduíte,trust,0
cone,trust,0
confederação,trust,0
conferir,trust,0
conferência,trust,0
confissões,trust,0
configuração,trust,0
limitar,trust,0
confinado,trust,0
confinamento,trust,0
confins,trust,0
confirme,trust,0
confirmatório,trust,0
confiscar,trust,0
confisco,trust,0
conflagração,trust,0
conflito,trust,0
conflitante,trust,0
confluência,trust,0
conformidade,trust,0
conformação,trust,0
confundir,trust,0
confuso,trust,0
enfrentar,trust,0
confundir,trust,0
confusão,trust,0
agradável,trust,0
congênito,trust,0
congestionamento,trust,0
conglomeração,trust,0
parabéns,trust,0
congratulatório,trust,0
se reunir,trust,0
Congresso,trust,0
cônica,trust,0
cônico,trust,0
conjetura,trust,0
conjugal,trust,0
conjugado,trust,0
conjugação,trust,0
conjunção,trust,0
conjuntivo,trust,0
Conjure,trust,0
conjurar,trust,0
conectar,trust,0
conectado,trust,0
conexão,trust,0
conquistador,trust,0
conquista,trust,0
consciência,trust,0
recrutamento,trust,0
consecutivo,trust,0
consentimento,trust,0
consentindo,trust,0
consequência,trust,0
conseqüente,trust,0
conservadorismo,trust,0
conservador,trust,0
conservatório,trust,0
conservar,trust,0
considerável,trust,0
consignatário,trust,0
Consignação,trust,0
consistente,trust,0
consolação,trust,0
console,trust,0
consolidar,trust,0
consolidação,trust,0
consoante,trust,0
conspícuo,trust,0
conspiração,trust,0
conspirador,trust,0
conspirar,trust,0
constelação,trust,0
consternação,trust,0
constipação,trust,0
constituinte,trust,0
constituintes,trust,0
constituição,trust,0
Constitucionalidade,trust,0
restringir,trust,0
restrito,trust,0
limitação,trust,0
construir,trust,0
construção,trust,0
interpretar,trust,0
consulta,trust,0
consumir,trust,0
consumindo,trust,0
consumar,trust,0
consumação,trust,0
consumo,trust,0
contato,trust,0
contágio,trust,0
transmissível,trust,0
contenção,trust,0
contaminar,trust,0
contaminado,trust,0
contaminação,trust,0
contemplar,trust,0
contemplação,trust,0
contemplativo,trust,0
contemporâne,trust,0
contemporâneo,trust,0
desprezo,trust,0
desprezível,trust,0
desprezo,trust,0
disputando,trust,0
contente,trust,0
contenção,trust,0
contencioso,trust,0
contentamento,trust,0
conteúdo,trust,0
contexto,trust,0
contíguo,trust,0
continência,trust,0
continente,trust,0
continental,trust,0
contingência,trust,0
contingente,trust,0
contínuo,trust,0
continuamente,trust,0
continuação,trust,0
continuação,trust,0
contínuo,trust,0
continuando,trust,0
continuidade,trust,0
contínuo,trust,0
continuamente,trust,0
contorno,trust,0
contrabando,trust,0
contrato,trust,0
contratado,trust,0
contrátil,trust,0
contratação,trust,0
contração,trust,0
contraditório,trust,0
contradição,trust,0
contraditório,trust,0
contrário,trust,0
contraste,trust,0
contrastado,trust,0
Contravene,trust,0
contravenção,trust,0
contribuir,trust,0
inventado,trust,0
ao controle,trust,0
controverso,trust,0
controvérsia,trust,0
dilema,trust,0
convalescente,trust,0
convecção,trust,0
convocar,trust,0
conveniência,trust,0
conveniências,trust,0
conveniente,trust,0
convenção,trust,0
convencional,trust,0
converge,trust,0
convergência,trust,0
convergente,trust,0
familiarizado,trust,0
conversação,trust,0
conversacional,trust,0
conversar,trust,0
conversando,trust,0
conversão,trust,0
converter,trust,0
convertido,trust,0
conversível,trust,0
convexo,trust,0
convexidade,trust,0
comunicar,trust,0
transporte,trust,0
condenar,trust,0
convicção,trust,0
convocação,trust,0
complicado,trust,0
convolução,trust,0
comboio,trust,0
COO,trust,0
cozinhar,trust,0
culinária,trust,0
biscoitos,trust,0
culinária,trust,0
legal,trust,0
resfriador,trust,0
resfriamento,trust,0
frieza,trust,0
Coop,trust,0
colaborar,trust,0
coordenada,trust,0
lidar,trust,0
abundante,trust,0
cobre,trust,0
cópia de,trust,0
imitador,trust,0
cópia,trust,0
direito autoral,trust,0
coral,trust,0
cordão,trust,0
cordão,trust,0
veludo veludo,trust,0
essencial,trust,0
cortiça,trust,0
saca rolhas,trust,0
milho,trust,0
córnea,trust,0
canto,trust,0
corneta,trust,0
cornija,trust,0
amido de milho,trust,0
corolário,trust,0
Corona,trust,0
médico legista,trust,0
corporal,trust,0
corporativo,trust,0
corporal,trust,0
corpo,trust,0
cadáver,trust,0
corpus,trust,0
curral,trust,0
correção,trust,0
corretivo,trust,0
correlação,trust,0
correlativo,trust,0
corresponder,trust,0
correspondência,trust,0
correspondente,trust,0
corredor,trust,0
corrosão,trust,0
corrosivo,trust,0
corrupto,trust,0
corrupção,trust,0
corrupção,trust,0
corpete,trust,0
espartilho,trust,0
córtex,trust,0
cortical,trust,0
corveta,trust,0
Cosmético,trust,0
Cosméticos,trust,0
cósmico,trust,0
cosmologia,trust,0
cosmos,trust,0
custo,trust,0
dispendioso,trust,0
fantasia,trust,0
aconchegante,trust,0
berço,trust,0
Cote,trust,0
cabana,trust,0
algodão,trust,0
sofá,trust,0
puma,trust,0
tosse,trust,0
contagem regressiva,trust,0
contador,trust,0
contrariar,trust,0
contrabalançar,trust,0
reconvenção,trust,0
contrapartida,trust,0
condessa,trust,0
incontáveis,trust,0
país,trust,0
música country,trust,0
interior,trust,0
contagens,trust,0
golpe,trust,0
casal,trust,0
acoplado,trust,0
cupom,trust,0
cursos,trust,0
Correndo,trust,0
tribunal,trust,0
cortês,trust,0
cortesia,trust,0
tribunal,trust,0
Tribunais,trust,0
pátio,trust,0
primos,trust,0
enseada,trust,0
abordado,trust,0
cobertura,trust,0
Covert,trust,0
Covet,trust,0
vaca,trust,0
covarde,trust,0
covardia,trust,0
covardemente,trust,0
vaqueiro,trust,0
Powehide,trust,0
Cowl,trust,0
colega de trabalho,trust,0
recatado,trust,0
coiote,trust,0
aconchegante,trust,0
caranguejo,trust,0
Crabby,trust,0
rachadura,trust,0
rachado,trust,0
biscoito,trust,0
rachadura,trust,0
Crackle,trust,0
arte,trust,0
trabalhos manuais,trust,0
artesão,trust,0
astuto,trust,0
Craig,trust,0
Cram,trust,0
amontoado,trust,0
cãibra,trust,0
apertado,trust,0
guindaste,trust,0
crânio,trust,0
manivela,trust,0
irritadiço,trust,0
besteira,trust,0
craps,trust,0
colidir,trust,0
Crate,trust,0
cratera,trust,0
almejar,trust,0
desejo,trust,0
lagostins,trust,0
arrastar,trust,0
giz de cera,trust,0
mania,trust,0
enlouquecido,trust,0
loucura,trust,0
louco,trust,0
rangendo,trust,0
creme,trust,0
creme,trust,0
cremoso,trust,0
vinco,trust,0
criar,trust,0
criação,trust,0
criativo,trust,0
criatividade,trust,0
O Criador,trust,0
criatura,trust,0
credenciais,trust,0
creditado,trust,0
creditando,trust,0
credor,trust,0
crença,trust,0
Riacho,trust,0
rastejar,trust,0
rastejando,trust,0
cremação,trust,0
crioulo,trust,0
crescente,trust,0
Cretins,trust,0
fenda,trust,0
berço,trust,0
Grilo,trust,0
gritou,trust,0
crime,trust,0
Criminoso,trust,0
criminalidade,trust,0
crimp,trust,0
carmesim,trust,0
desgosto,trust,0
aleijado,trust,0
aleijado,trust,0
aleijante,trust,0
crise,trust,0
critério,trust,0
crítico,trust,0
crítico,trust,0
criticar,trust,0
criticar,trust,0
crítica,trust,0
CRITTER,trust,0
Croak,trust,0
Crock,trust,0
louça,trust,0
crocodilo,trust,0
Croft,trust,0
trapaceiro,trust,0
cortar,trust,0
croquet,trust,0
cruzar,trust,0
besta,trust,0
cruzado,trust,0
cruzando,trust,0
virilha,trust,0
agachado,trust,0
agachado,trust,0
agachado,trust,0
Crupier,trust,0
corvo,trust,0
multidão,trust,0
superlotado,trust,0
multidões,trust,0
coroa,trust,0
cruzado,trust,0
crucifixo,trust,0
crucificação,trust,0
bruto,trust,0
cruel,trust,0
cruelmente,trust,0
crueldade,trust,0
cruzeiro,trust,0
cruzador,trust,0
cruzeiro,trust,0
migalha,trust,0
em ruínas,trust,0
Crunch,trust,0
cruzada,trust,0
crush,trust,0
esmagado,trust,0
esmagando,trust,0
crosta,trust,0
duro,trust,0
muleta,trust,0
Crux,trust,0
chorar,trust,0
choro,trust,0
cripta,trust,0
enigmático,trust,0
criptografia,trust,0
cristal,trust,0
cristalino,trust,0
cristalização,trust,0
filhote,trust,0
cubículo,trust,0
corno,trust,0
cuco,trust,0
abraçado,trust,0
abraços,trust,0
abraçando,trust,0
deixa,trust,0
manguito,trust,0
cozinha,trust,0
abate,trust,0
culminar,trust,0
culminação,trust,0
culpabilidade,trust,0
culpável,trust,0
culpado,trust,0
culto,trust,0
cultivado,trust,0
cultivo,trust,0
cultura,trust,0
bueiro,trust,0
pesado,trust,0
cumulus,trust,0
ardiloso,trust,0
xícara,trust,0
armário,trust,0
Cupping,trust,0
cur,trust,0
Curate,trust,0
curativo,trust,0
curador,trust,0
meio-fio,trust,0
coalhada,trust,0
curiosidade,trust,0
curioso,trust,0
ondulação,trust,0
ondulação,trust,0
moeda,trust,0
atual,trust,0
currículo,trust,0
Curry,trust,0
xingamento,trust,0
amaldiçoado,trust,0
maldição,trust,0
superficial,trust,0
Curt,trust,0
redução,trust,0
redução,trust,0
cortina,trust,0
curvatura,trust,0
curva,trust,0
curvado,trust,0
curvilíneo,trust,0
almofada,trust,0
cúspide,trust,0
xingado,trust,0
personalizado,trust,0
Costumeiro,trust,0
cliente,trust,0
corte,trust,0
cutâneo,trust,0
bonitinho,trust,0
cutícula,trust,0
gracinha,trust,0
talheres,trust,0
cortador,trust,0
cortadores,trust,0
Cutthroat,trust,0
corte,trust,0
estacas,trust,0
cwt,trust,0
cianeto,trust,0
ciclo,trust,0
cíclico,trust,0
ciclista,trust,0
ciclone,trust,0
cilindr,trust,0
cilíndrico,trust,0
prato,trust,0
cínico,trust,0
cisto,trust,0
cístico,trust,0
citomegalovírus,trust,0
citoplasma,trust,0
czar,trust,0
dab,trust,0
Dabble,trust,0
Dabling,trust,0
pai,trust,0
dado,trust,0
Daemon,trust,0
Daft,trust,0
punhal,trust,0
diário,trust,0
guloseima,trust,0
laticínio,trust,0
Dak,trust,0
Dale,trust,0
barragem,trust,0
dano,trust,0
danos,trust,0
droga,trust,0
condenação,trust,0
condenado,trust,0
úmido,trust,0
umedecido,trust,0
amortecedor,trust,0
donzela,trust,0
dançarino,trust,0
dançando,trust,0
caspa,trust,0
dândi,trust,0
perigo,trust,0
perigoso,trust,0
perigosamente,trust,0
que droga,trust,0
Dangle,trust,0
Dank,trust,0
Dapper,trust,0
audaz,trust,0
escuro,trust,0
escurecer,trust,0
escurecido,trust,0
sombriamente,trust,0
escuridão,trust,0
lado escuro,trust,0
maldito,trust,0
dardo,trust,0
traço,trust,0
painel,trust,0
tracejadas,trust,0
correndo,trust,0
covarde,trust,0
dados,trust,0
base de dados,trust,0
data,trust,0
encontro a noite,trust,0
filha,trust,0
Aorandou,trust,0
dia,trust,0
aurora,trust,0
sonhando acordado,trust,0
Daymade,trust,0
folga,trust,0
atordoado,trust,0
Dazed,trust,0
deslumbrar,trust,0
deslumbrante,trust,0
desativar,trust,0
prazo final,trust,0
prazos,trust,0
impasse,trust,0
mortal,trust,0
ensurdecedor,trust,0
surdez,trust,0
distribuidor,trust,0
tratativa,trust,0
reitor,trust,0
querido,trust,0
querido,trust,0
escassez,trust,0
morte,trust,0
fiasco,trust,0
discutível,trust,0
debate,trust,0
devassidão,trust,0
debênture,trust,0
débito,trust,0
destroços,trust,0
dívida,trust,0
devedor,trust,0
estréia,trust,0
década,trust,0
Decanter,trust,0
decair,trust,0
deteriorado,trust,0
morto,trust,0
engano,trust,0
enganoso,trust,0
enganar,trust,0
enganado,trust,0
dezembro,trust,0
decência,trust,0
decente,trust,0
decepção,trust,0
enganoso,trust,0
decididamente,trust,0
decíduo,trust,0
decimal,trust,0
decifrar,trust,0
decisão,trust,0
decisivo,trust,0
área coberta,trust,0
declaração,trust,0
declaratório,trust,0
declarar,trust,0
declinação,trust,0
declínio,trust,0
declinante,trust,0
decompor,trust,0
decomposto,trust,0
decomposição,trust,0
decorar,trust,0
decoração,trust,0
decoração,trust,0
decoro,trust,0
chamariz,trust,0
diminuir,trust,0
diminuído,trust,0
diminuindo,trust,0
decreto,trust,0
decremento,trust,0
decrépito,trust,0
acenar,trust,0
deduzir,trust,0
deduzir,trust,0
dedução,trust,0
aprofundar,trust,0
cervo,trust,0
difamação,trust,0
difamatório,trust,0
padrão,trust,0
derrota,trust,0
defeito,trust,0
deserção,trust,0
defeituoso,trust,0
defender,trust,0
réu,trust,0
defendendo,trust,0
defesa,trust,0
indefeso,trust,0
defensável,trust,0
defensiva,trust,0
adiar,trust,0
adiamento,trust,0
adiando,trust,0
desafio,trust,0
desafiador,trust,0
deficiência,trust,0
déficit,trust,0
definiram,trust,0
definição,trust,0
Esflada,trust,0
deflação,trust,0
desviar,trust,0
deflexão,trust,0
defloração,trust,0
deformar,trust,0
deformado,trust,0
deformidade,trust,0
defraudar,trust,0
custear,trust,0
hábil,trust,0
extinto,trust,0
desafiar,trust,0
degeneração,trust,0
degenerar,trust,0
degeneração,trust,0
degradação,trust,0
degradar,trust,0
degradante,trust,0
grau,trust,0
desidratado,trust,0
atraso,trust,0
atrasado,trust,0
Deatível,trust,0
delegação,trust,0
deletério,trust,0
eliminação,trust,0
deliberar,trust,0
deliberação,trust,0
deliberativo,trust,0
delicadeza,trust,0
delicioso,trust,0
prazer,trust,0
encantado,trust,0
delinear,trust,0
delineamento,trust,0
delinquência,trust,0
delinquente,trust,0
delirante,trust,0
delírio,trust,0
entrega,trust,0
Dell,trust,0
delta,trust,0
dilúvio,trust,0
ilusão,trust,0
ilusório,trust,0
DeLve,trust,0
demanda,trust,0
exigente,trust,0
comportamento,trust,0
demente,trust,0
demência,trust,0
morte,trust,0
democracia,trust,0
democrata,trust,0
demolir,trust,0
demolido,trust,0
demolição,trust,0
demônio,trust,0
demoníaco,trust,0
demonstrável,trust,0
demonstrar,trust,0
demonstrado,trust,0
demonstrando,trust,0
demonstração,trust,0
demonstrativo,trust,0
demonstrador,trust,0
desmoralizado,trust,0
demos,trust,0
Den,trust,0
denominação,trust,0
confessional,trust,0
denominador,trust,0
denotar,trust,0
denunciar,trust,0
denso,trust,0
densidade,trust,0
dente,trust,0
dentista,trust,0
odontologia,trust,0
Dentistas,trust,0
denúncia,trust,0
Desodorante,trust,0
partir,trust,0
partiu,trust,0
departamento,trust,0
partida,trust,0
dependente,trust,0
dependência,trust,0
dependência,trust,0
representar,trust,0
representando,trust,0
esgotamento,trust,0
deplorável,trust,0
deplore,trust,0
implantar,trust,0
deportar,trust,0
deportação,trust,0
depósito,trust,0
depositário,trust,0
deposição,trust,0
depósito,trust,0
depravado,trust,0
depravação,trust,0
depreciar,trust,0
depreciado,trust,0
depreciação,trust,0
deprimido,trust,0
depressivo,trust,0
deprimente,trust,0
depressão,trust,0
depressivo,trust,0
depressivo,trust,0
privação,trust,0
privado,trust,0
descarrilhar,trust,0
perturbado,trust,0
abandonado,trust,0
escárnio,trust,0
derivação,trust,0
derivado,trust,0
derivar,trust,0
dérmico,trust,0
dermatologia,trust,0
derrogação,trust,0
Derogatório,trust,0
descer,trust,0
descendente,trust,0
descendente,trust,0
descendente,trust,0
descida,trust,0
descrever,trust,0
descrição,trust,0
descritivo,trust,0
profanação,trust,0
deserto,trust,0
deserto,trust,0
deserção,trust,0
mereceu,trust,0
merecedor,trust,0
projeto,trust,0
designar,trust,0
projetado,trust,0
Designer,trust,0
projetando,trust,0
conveniência,trust,0
desejável,trust,0
desejo,trust,0
desejando,trust,0
desejo,trust,0
desistir,trust,0
mesa,trust,0
desolação,trust,0
desespero,trust,0
desesperado,trust,0
despachar,trust,0
desesperado,trust,0
desespero,trust,0
desprezível,trust,0
desprezo,trust,0
despótico,trust,0
despotismo,trust,0
sobremesa,trust,0
destino,trust,0
destino,trust,0
destituído,trust,0
destruído,trust,0
destruidor,trust,0
destruindo,trust,0
destruição,trust,0
destrutivo,trust,0
Desapear,trust,0
destacado,trust,0
destacamento,trust,0
detalhe,trust,0
detalhes,trust,0
deter,trust,0
detido,trust,0
detectar,trust,0
detectável,trust,0
detecção,trust,0
detetive,trust,0
detector,trust,0
detenção,trust,0
Deter -se,trust,0
detergente,trust,0
deteriorar,trust,0
deteriorado,trust,0
deterioração,trust,0
determinável,trust,0
determinado,trust,0
detestar,trust,0
detestação,trust,0
detonar,trust,0
detonação,trust,0
Desvio,trust,0
prejudicar,trust,0
detrimento,trust,0
prejudicial,trust,0
Detritos,trust,0
Deuce,trust,0
devastar,trust,0
devastado,trust,0
devastação,trust,0
desenvolver,trust,0
em desenvolvimento,trust,0
desenvolvimento,trust,0
desviar,trust,0
desviando,trust,0
desvio,trust,0
dispositivo,trust,0
diabo,trust,0
diabólico,trust,0
desonesto,trust,0
inventar,trust,0
desprovido,trust,0
devolução,trust,0
devolver,trust,0
dedicar,trust,0
devoto,trust,0
devorar,trust,0
orvalho,trust,0
destro,trust,0
destreza,trust,0
dextrose,trust,0
diabólico,trust,0
diagnóstico,trust,0
Diagnóstico,trust,0
diagrama,trust,0
Dial,trust,0
dialeto,trust,0
dialética,trust,0
diálogo,trust,0
diâmetro,trust,0
diamant,trust,0
diamantes,trust,0
fralda,trust,0
diafragma,trust,0
diarréia,trust,0
diatribe,trust,0
dados,trust,0
dicotômico,trust,0
dicotomia,trust,0
Dickhead,trust,0
Dicks,trust,0
ditar,trust,0
ditado,trust,0
ditador,trust,0
ditatorial,trust,0
ditadura,trust,0
dicção,trust,0
didático,trust,0
morrer,trust,0
morreu,trust,0
dieta,trust,0
dietético,trust,0
diferir,trust,0
diferença,trust,0
diferenciação,trust,0
diferentemente,trust,0
diferente,trust,0
difícil,trust,0
dificuldades,trust,0
dificuldade,trust,0
difuso,trust,0
difusão,trust,0
escavação,trust,0
digerir,trust,0
digestão,trust,0
digno,trust,0
Digressão,trust,0
escavações,trust,0
dique,trust,0
dilapidado,trust,0
dilatação,trust,0
dilatação,trust,0
dilema,trust,0
diligente,trust,0
diluente,trust,0
diluir,trust,0
diluído,trust,0
diluição,trust,0
DIME,trust,0
dimensão,trust,0
diminuir,trust,0
diminuído,trust,0
diminuição,trust,0
diminutivo,trust,0
Din,trust,0
jantar,trust,0
o jantar,trust,0
jantar,trust,0
dinossauro,trust,0
força,trust,0
diocesano,trust,0
diocese,trust,0
diorama,trust,0
mergulhar,trust,0
diploma,trust,0
diplomata,trust,0
terrível,trust,0
direcionado,trust,0
direção,trust,0
diretamente,trust,0
diretório,trust,0
sujeira,trust,0
sujo,trust,0
incapacidade,trust,0
desativar,trust,0
desabilitado,trust,0
desvantagem,trust,0
descontente,trust,0
discordar,trust,0
desagradável,trust,0
discordando,trust,0
desacordo,trust,0
proibir,trust,0
não permitido,trust,0
Desapontamento,trust,0
desaparecer,trust,0
desaparecimento,trust,0
desaparecendo,trust,0
decepcionar,trust,0
desapontado,trust,0
decepcionante,trust,0
desapontamento,trust,0
desaprovação,trust,0
desaprovar,trust,0
reprovado,trust,0
desaprovando,trust,0
desarmar,trust,0
desordem,trust,0
desastre,trust,0
desastroso,trust,0
Disbance,trust,0
descrença,trust,0
descrença,trust,0
desembolsar,trust,0
desembolso,trust,0
disco,trust,0
descartado,trust,0
devasções,trust,0
discernir,trust,0
discernível,trust,0
discernir,trust,0
discernimento,trust,0
descarga,trust,0
disciplina,trust,0
isenção de responsabilidade,trust,0
divulgar,trust,0
divulgação,trust,0
descoloração,trust,0
descolorido,trust,0
desconforto,trust,0
desconectar,trust,0
desconectado,trust,0
desconexão,trust,0
desconecta,trust,0
descontentamento,trust,0
descontinuação,trust,0
interromper,trust,0
descontinuidade,trust,0
descontínuo,trust,0
discórdia,trust,0
desconto,trust,0
desconto,trust,0
desencorajar,trust,0
desanimado,trust,0
desânimo,trust,0
discurso,trust,0
descobrir,trust,0
descoberta,trust,0
desacreditar,trust,0
discreto,trust,0
discrepância,trust,0
discreto,trust,0
discricionário,trust,0
discriminar,trust,0
discriminador,trust,0
discriminação,trust,0
disco,trust,0
discutir,trust,0
discussão,trust,0
desdém,trust,0
doença,trust,0
doente,trust,0
Desenba corada,trust,0
desengate,trust,0
não envolvimento,trust,0
desfigurado,trust,0
desgraça,trust,0
desonrado,trust,0
vergonhoso,trust,0
desapontado,trust,0
disfarce,trust,0
disfarçado,trust,0
